"hour","week","temp","htemp","atemp","hum","wind","Y"
1,6,0.604982206405694,0.676646706586826,0.706552706552707,0.530120481927711,0.0597014925373134,196
2,6,0.580071174377224,0.688622754491018,0.686609686609687,0.590361445783133,0.149253731343284,177
3,6,0.562277580071174,0.655688622754491,0.672364672364672,0.55421686746988,0.0746268656716418,107
4,6,0.551601423487544,0.553892215568862,0.663817663817664,0.397590361445783,0.104477611940299,107
5,6,0.540925266903915,0.562874251497006,0.655270655270655,0.421686746987952,0.164179104477612,73
6,6,0.523131672597865,0.583832335329341,0.584045584045584,0.481927710843373,0.208955223880597,32
7,6,0.519572953736655,0.580838323353294,0.638176638176638,0.481927710843373,0.17910447761194,36
8,6,0.505338078291815,0.562874251497006,0.626780626780627,0.469879518072289,0.0746268656716418,61
9,6,0.519572953736655,0.520958083832335,0.638176638176638,0.385542168674699,0.119402985074627,115
10,6,0.587188612099644,0.494011976047904,0.692307692307692,0.27710843373494,0.119402985074627,152
11,6,0.701067615658363,0.434131736526946,0.783475783475783,0.132530120481928,0.149253731343284,189
12,6,0.772241992882562,0.553892215568862,0.800569800569801,0.192771084337349,0.238805970149254,216
13,6,0.807829181494662,0.467065868263473,0.82051282051282,0.0963855421686747,0.298507462686567,271
14,6,0.825622775800712,0.407185628742515,0.883190883190883,0.0481927710843374,0.17910447761194,343
15,6,0.825622775800712,0.44311377245509,0.831908831908832,0.072289156626506,0.328358208955224,340
16,6,0.800711743772242,0.368263473053892,0.811965811965812,0.036144578313253,0.313432835820896,389
17,6,0.768683274021352,0.404191616766467,0.837606837606838,0.072289156626506,0.194029850746269,396
18,6,0.722419928825623,0.437125748502994,0.740740740740741,0.120481927710843,0.298507462686567,383
19,6,0.679715302491103,0.419161676646707,0.766381766381766,0.132530120481928,0.194029850746269,295
20,6,0.644128113879004,0.422155688622755,0.737891737891738,0.156626506024096,0.0597014925373134,223
21,6,0.629893238434164,0.437125748502994,0.726495726495726,0.180722891566265,0.0746268656716418,258
22,6,0.622775800711744,0.467065868263473,0.720797720797721,0.216867469879518,0.104477611940299,237
23,6,0.619217081850534,0.464071856287425,0.717948717948718,0.216867469879518,0.0895522388059701,207
24,6,0.626334519572954,0.446107784431138,0.723646723646724,0.192771084337349,0.0597014925373134,170
1,0,0.626334519572954,0.470059880239521,0.723646723646724,0.216867469879518,0.104477611940299,171
2,0,0.626334519572954,0.482035928143713,0.678062678062678,0.228915662650602,0.208955223880597,97
3,0,0.622775800711744,0.455089820359281,0.720797720797721,0.204819277108434,0.0447761194029851,73
